time,altitude,groundspeed,true_airspeed,vertical_rate,mass,fuel_flow
6600.0,25872.75,503.0,475.399221445349,-3801.1328125000105,64246.8404464722,0.09721520564053222
6601.0,25808.75,503.0,475.052763804022,-3811.1328125,64246.8404464722,0.09547879795776666
6602.0,25744.75,503.0,474.900675307808,-3823.3984375,64246.8404464722,0.09447081526663778
6603.0,25680.75,503.0,475.311977526024,-3853.39843750003,64246.8404464722,0.09402194797449444
6604.0,25616.75,503.0,475.55052935035104,-3884.53125,64246.8404464722,0.09475037296613056
6605.0,25552.75,503.0,475.7446817491919,-3924.53125,64246.8404464722,0.09502993066562333
6606.0,25488.75,503.0,475.949671550687,-3966.796875,64246.8404464722,0.09547879795776666
6607.0,25423.84375,503.0,475.984564159532,-4025.6640625,64246.8404464722,0.09475037296613056
6608.0,25352.75,502.64453125,476.043273439451,-4076.796875,64246.8404464722,0.09475037296613056
6609.0,25287.84375,502.0,475.81917157807294,-4137.9296875,64246.8404464722,0.09475037296613056
6610.0,25215.84375,502.0,475.7522754410031,-4205.6640625,64246.8404464722,0.09475037296613056
6611.0,25143.84375,502.0,476.115577105112,-4254.53124999997,64246.8404464722,0.09502993066562333
6612.0,25072.296875,502.35546875,476.42933692116,-4293.3984375,64246.8404464722,0.09519924025827388
6613.0,25003.390625,503.0,477.095165432314,-4323.3984375,64246.8404464722,0.09374239027500167
6614.0,24927.390625,503.0,477.092087128172,-4352.265625,64246.8404464722,0.09374239027500167
6615.0,24852.296875,503.0,477.276593248853,-4371.13281250001,64246.8404464722,0.09374239027500167
6616.0,24783.84375,503.0,477.46234069049103,-4381.1328125,64246.8404464722,0.09374239027500167
6617.0,24710.9375,503.0,477.814001777972,-4388.86718749999,64246.8404464722,0.09402194797449444
6618.0,24632.296875,503.0,478.140062961727,-4378.8671875,64246.8404464722,0.09447081526663778
6619.0,24563.390625,503.0,477.9051585574389,-4370.00000000001,64246.8404464722,0.09374239027500167
6620.0,24487.84375,503.0,477.752886413189,-4368.86718750001,64246.8404464722,0.09374239027500167
6621.0,24415.84375,503.0,477.576640912592,-4358.86718749999,64246.8404464722,0.09402194797449444
6622.0,24343.84375,503.0,477.53933409433,-4348.86718749999,64246.8404464722,0.0953094883651161
6623.0,24271.84375,503.0,477.619076899175,-4341.13281249999,64246.8404464722,0.09620722294940279
6624.0,24199.84375,503.0,477.304989031616,-4351.1328125,64246.8404464722,0.09475037296613056
6625.0,24127.84375,503.0,477.085809372364,-4362.26562499999,64246.8404464722,0.09447081526663778
6626.0,24055.84375,503.0,477.684301744332,-4384.53125,64246.8404464722,0.09402194797449444
6627.0,23983.390625,503.0,477.612516081839,-4423.3984375,64246.8404464722,0.09475037296613056
6628.0,23907.84375,503.0,477.735258786447,-4454.53125,64246.8404464722,0.09447081526663778
6629.0,23835.390625,503.0,477.597802458526,-4493.3984375,64246.8404464722,0.09374239027500167
6630.0,23759.390625,503.0,477.526982951812,-4522.26562500001,64246.8404464722,0.09430150567398722
6631.0,23682.9375,503.0,477.56895100342905,-4541.1328125,64246.8404464722,0.09575835565726
6632.0,23603.84375,503.35546875,478.0843830530381,-4547.73437499997,64246.8404464722,0.09547879795776666
